319|Blix
320|Forsvarets Logistikkorganisasjon
321|Phonero
322|SK Telecom
323|SmarTone
324|MobiFone
325|CAT Telecom
326|Saudi Telecom
327|Vivendi
328|Sistema
329|Telia Company
330|MNT
331|MegaFon
332|PLDT
333|Nextel
334|TaTa DoCoMo
335|KDDI
336|TPG Telecom
337|TDC
338|UK BroadBand
339|Imagine
340|True
341|K-Opticom
342|Partner Communications
343|Axiata
344|Far Eastone
345|Thaicom
346|Mobileone
347|Korea Telecom
348|Proximus
349|I-Cable
350|Taiwan Star Telecom
351|Wharf T&T
352|Singtel
353|Cosmote
354|Du
355|Sonic.Net
356|Telkom Indonesia
357|Tata Communications
358|Taiwan Mobile
359|PCCW
360|Asahi Net
361|Globe Telecom
362|Internet Initiative Japan
363|Akamai
364|Telepacific Communications
365|TOT Public Company
366|Centurylink
367|Mytv Super Limited
368|Viewqwest
369|Afrihost
370|Freebit
371|Lycamobile
372|Jupiter Telecommunications
373|China Unicom
374|Viettel
375|Asia Pacific Telecom
376|Hong Kong Broadband Network
377|Time Dotcom Bhd
378|China Mobile
379|Wifirst
380|Celcom
381|Etisalat
382|Y!Mobile
383|Telenor
384|Japan Communication
385|Citic Telecom
386|Eastern Telecommunications Phillipines
387|Lg Uplus
388|Chunghwa Telecom
389|Advanced Info Service
390|Biglobe
391|Starhub
